date_time,col_1,col_2,col_3
2021-05-25 22:05:00,3627.0,5,86.4
2021-05-25 17:35:00,337.0,4,81.0
2021-04-27 09:55:00,2502.0,15,86.65555555555555
2021-04-27 13:55:00,4004.0,7,82.10714285714286
2021-04-27 02:00:00,3375.0,4,91.625
2021-04-27 04:35:00,2691.0,4,87.83333333333333
2021-04-27 13:25:00,3020.0,22,49.696969696969695
2021-04-27 04:25:00,2467.0,8,86.25
2021-04-27 06:25:00,4838.0,23,85.37681159420289
2021-04-27 13:40:00,815.0,8,84.35416666666666
2021-04-27 12:50:00,3747.0,9,76.66666666666667
2021-04-27 04:05:00,3269.0,1,61.5
2021-04-27 11:40:00,1631.0,6,87.63888888888887
2021-06-02 03:30:00,3806.0,32,84.33333333333334
2021-06-02 22:45:00,1217.0,2,89.0
2021-06-02 09:05:00,900.0,1,0.0
2021-06-02 15:15:00,4340.0,4,93.125
2021-06-02 03:50:00,3844.0,4,85.5
2021-04-28 10:05:00,382.0,19,83.33771929824562
2021-04-28 10:50:00,3150.0,5,79.2
2021-04-28 20:30:00,1674.0,3,88.08333333333333
2021-04-28 20:25:00,101.0,6,87.30555555555554
2021-04-23 16:25:00,558.0,2,87.0
2021-04-23 08:00:00,4619.0,4,55.25
2021-03-26 09:45:00,4967.0,1,35.0
2021-03-26 05:25:00,5035.0,10,84.7
2021-03-26 11:50:00,1102.0,12,89.4861111111111
2021-05-11 03:10:00,2813.0,1,115.0
2021-05-11 00:25:00,3871.0,2,88.66666666666666
2021-03-30 07:30:00,152.0,2,85.5
2021-03-30 14:45:00,467.0,14,86.03571428571429
2021-03-30 18:35:00,4941.0,3,90.66666666666669
2021-03-30 07:35:00,902.0,5,83.6
2021-03-30 09:40:00,1946.0,5,53.0
2021-03-30 13:35:00,4708.0,13,82.83974358974359
2021-04-09 06:20:00,3414.0,8,86.75
2021-04-09 16:30:00,71.0,1,89.0
2021-04-09 08:55:00,3642.0,16,84.21875
2021-04-09 06:00:00,4118.0,8,86.5
2021-06-05 07:10:00,2953.0,7,84.0
2021-06-05 10:45:00,4384.0,1,36.0
2021-06-05 01:45:00,4343.0,3,85.66666666666667
2021-03-22 05:45:00,814.0,6,80.16666666666667
2021-03-22 10:15:00,3611.0,2,86.0
2021-06-04 09:35:00,2186.0,11,85.60606060606061
2021-06-04 22:15:00,3455.0,1,83.5
2021-06-04 09:45:00,3929.0,5,78.7
2021-04-14 05:40:00,2052.0,6,86.63888888888887
2021-03-23 13:55:00,2067.0,12,77.31944444444444
2021-03-23 07:10:00,5019.0,6,88.27777777777779
2021-03-23 13:30:00,4237.0,8,84.8125
2021-03-23 08:25:00,808.0,5,82.7
2021-05-31 05:20:00,4141.0,2,85.91666666666666
2021-05-31 14:40:00,4388.0,12,87.04166666666667
2021-03-29 14:55:00,4866.0,3,86.33333333333333
2021-03-29 11:35:00,392.0,6,84.58333333333333
2021-05-05 06:05:00,4941.0,3,85.3888888888889
2021-05-05 08:25:00,1868.0,2,78.75
2021-05-05 11:40:00,2520.0,8,84.1875
2021-04-12 10:30:00,3685.0,1,90.0
2021-04-12 23:35:00,1457.0,1,87.66666666666667
2021-04-12 18:55:00,3137.0,2,86.5
2021-04-12 04:35:00,2305.0,22,86.90151515151514
2021-04-12 15:20:00,1677.0,1,88.0
2021-04-12 14:20:00,163.0,21,25.976190476190474
2021-04-12 07:55:00,3846.0,6,85.88888888888887
2021-04-12 20:20:00,3819.0,4,86.875
2021-03-30 17:30:00,3930.0,1,89.5
2021-03-30 04:55:00,1365.0,18,34.77777777777778
2021-05-18 06:15:00,4899.0,6,80.5
2021-05-18 06:10:00,1463.0,7,85.35714285714286
2021-05-28 06:50:00,4734.0,4,84.75
2021-05-28 16:45:00,4431.0,1,80.0
2021-05-28 12:30:00,1339.0,9,83.55555555555556
2021-05-28 09:40:00,2783.0,7,87.28571428571429
2021-05-28 08:05:00,3940.0,1,89.0
2021-05-28 06:20:00,930.0,2,24.5
2021-05-28 14:55:00,2879.0,2,69.91666666666666
2021-06-05 05:00:00,3211.0,7,77.71428571428571
2021-05-27 10:15:00,354.0,2,80.0
2021-05-31 02:35:00,2971.0,1,41.0
2021-05-06 08:45:00,2415.0,11,83.5
2021-05-06 06:15:00,1459.0,1,51.0
2021-05-06 05:20:00,4697.0,18,87.18981481481482
2021-05-06 06:25:00,861.0,6,10.416666666666666
2021-05-06 15:40:00,1254.0,5,76.3
2021-05-06 11:15:00,1563.0,4,85.75
2021-05-28 12:10:00,4931.0,46,87.45471014492755
2021-05-28 08:30:00,3626.0,40,82.73124999999999
2021-05-28 08:00:00,4476.0,2,54.5
2021-05-31 09:20:00,3445.0,3,92.66666666666669
2021-05-03 11:25:00,4994.0,2,86.5
2021-05-03 06:15:00,3789.0,1,85.0
2021-05-03 05:05:00,5122.0,6,83.38888888888889
2021-04-13 13:35:00,1271.0,22,86.07575757575756
2021-04-13 06:20:00,3819.0,12,82.9861111111111
2021-04-13 12:45:00,4940.0,6,86.0
2021-04-09 03:50:00,4513.0,4,87.25
2021-06-02 14:05:00,3292.0,4,85.0
2021-05-01 12:05:00,3650.0,1,88.5
2021-05-01 14:00:00,2476.0,1,78.0
2021-05-01 10:45:00,2537.0,3,87.33333333333333
2021-05-01 06:00:00,1315.0,4,81.75
2021-05-01 05:10:00,1413.0,4,85.16666666666667
2021-04-13 09:10:00,4360.0,7,85.71428571428571
2021-04-13 12:25:00,2953.0,8,81.1875
2021-04-13 16:40:00,1443.0,5,81.6
2021-04-13 09:35:00,1383.0,5,85.8
2021-04-13 03:50:00,2000.0,3,89.0
2021-04-15 14:35:00,1080.0,2,78.0
2021-04-15 13:30:00,3574.0,10,84.5
2021-04-15 15:45:00,2067.0,8,65.875
2021-04-15 02:20:00,2696.0,2,87.5
2021-05-07 08:45:00,1197.0,3,74.66666666666667
2021-05-07 07:40:00,2336.0,8,85.58333333333333
2021-05-05 12:45:00,1280.0,3,88.33333333333333
2021-05-05 11:50:00,482.0,36,85.09953703703702
2021-05-05 09:40:00,1771.0,3,86.66666666666667
2021-05-15 10:20:00,2631.0,1,55.0
2021-05-15 11:45:00,4410.0,3,68.0
2021-05-15 05:00:00,2677.0,1,83.0
2021-05-15 19:05:00,594.0,1,93.0
2021-05-15 17:15:00,5019.0,1,71.0
2021-05-06 18:00:00,5088.0,4,84.375
2021-05-06 13:15:00,3650.0,20,86.25
2021-05-17 16:30:00,3545.0,1,92.0
2021-05-17 07:05:00,1842.0,5,68.83333333333333
2021-05-17 09:55:00,3301.0,12,69.04166666666667
2021-05-17 04:55:00,188.0,16,66.35416666666667
2021-05-17 08:10:00,4666.0,7,87.71428571428571
2021-04-16 06:25:00,106.0,9,81.27777777777777
2021-04-16 11:10:00,552.0,15,86.3111111111111
2021-04-16 13:45:00,440.0,2,84.5
2021-04-14 06:25:00,4996.0,7,86.8809523809524
2021-04-14 16:55:00,3311.0,7,76.22619047619048
2021-04-14 14:45:00,3699.0,1,88.0
2021-04-14 11:20:00,1590.0,3,78.0
2021-04-14 11:55:00,1271.0,13,84.73717948717947
2021-04-24 00:20:00,4033.0,1,85.5
2021-04-24 12:20:00,4123.0,1,93.0
2021-04-24 13:25:00,1624.0,1,46.0
2021-04-24 02:40:00,1727.0,2,89.5
2021-04-24 04:50:00,3585.0,4,86.0
2021-04-20 04:30:00,2742.0,6,74.33333333333333
2021-04-20 21:30:00,3367.0,2,76.0
2021-04-18 05:05:00,2325.0,1,87.0
2021-04-18 09:20:00,399.0,2,70.5
2021-03-23 08:05:00,4550.0,21,85.84126984126985
2021-03-23 05:25:00,1624.0,22,50.85227272727273
2021-03-23 20:15:00,3494.0,5,87.0
2021-03-23 18:05:00,3235.0,4,81.375
2021-03-23 14:45:00,2067.0,10,81.55
2021-04-15 11:20:00,3478.0,1,67.0
2021-04-15 11:30:00,2006.0,13,87.89743589743588
2021-04-15 11:55:00,4335.0,13,87.51282051282053
2021-04-15 05:00:00,3486.0,7,43.35714285714285
2021-04-15 08:40:00,3181.0,1,90.0
2021-05-23 05:20:00,2395.0,1,81.0
2021-05-23 07:40:00,4201.0,1,88.0
2021-05-31 10:05:00,1401.0,25,84.06666666666668
2021-05-31 11:05:00,3007.0,13,81.53846153846153
2021-05-31 04:25:00,2915.0,1,55.0
2021-06-01 08:55:00,2632.0,1,91.0
2021-06-01 22:00:00,2083.0,1,89.0
2021-04-12 08:50:00,3228.0,5,91.1
2021-04-12 04:55:00,4238.0,1,34.0
2021-06-03 04:30:00,1845.0,68,44.76960784313725
2021-05-11 09:20:00,4377.0,2,88.5
2021-05-11 23:40:00,477.0,3,88.44444444444444
2021-05-07 12:20:00,4553.0,6,24.33333333333333
2021-04-16 11:15:00,3011.0,2,81.0
2021-04-29 11:20:00,3788.0,9,78.77777777777777
2021-04-29 06:20:00,3583.0,4,85.75
2021-06-02 13:45:00,84.0,23,84.67391304347827
2021-05-21 04:30:00,316.0,23,81.42753623188405
2021-04-29 12:25:00,2502.0,3,83.3888888888889
2021-04-29 05:10:00,4990.0,2,85.0
2021-04-29 12:10:00,3285.0,1,83.66666666666667
2021-04-21 12:40:00,3032.0,9,86.07407407407408
2021-04-21 11:00:00,4712.0,2,87.0
2021-04-21 18:15:00,3270.0,1,80.0
2021-04-21 11:20:00,4454.0,5,74.53333333333333
2021-04-14 08:25:00,1215.0,1,87.0
2021-03-22 19:20:00,3214.0,1,83.0
2021-03-22 16:35:00,482.0,29,84.42816091954022
2021-03-22 07:30:00,3017.0,9,86.33333333333333
2021-03-22 08:30:00,2137.0,29,32.39942528735632
2021-03-22 03:25:00,395.0,3,83.83333333333333
2021-05-11 09:45:00,1024.0,7,85.64285714285714
2021-05-11 04:50:00,4697.0,18,86.74074074074075
2021-05-11 16:05:00,3408.0,1,90.0
2021-04-16 12:05:00,121.0,3,89.16666666666667
2021-04-05 15:05:00,341.0,1,79.0
2021-04-05 16:05:00,399.0,1,88.0
2021-04-05 13:30:00,4129.0,3,84.77777777777779
2021-04-02 08:55:00,2297.0,12,81.26388888888889
2021-04-29 13:30:00,2398.0,1,85.66666666666667
2021-04-21 17:35:00,2512.0,1,87.0
2021-06-03 06:20:00,1820.0,5,77.3
2021-06-03 06:00:00,3916.0,16,15.635416666666666
2021-06-03 06:25:00,3311.0,24,79.75
2021-06-03 04:40:00,4150.0,11,86.11363636363636
2021-06-03 08:00:00,2400.0,44,49.68181818181818
2021-06-03 11:20:00,4573.0,2,69.0
2021-03-30 08:50:00,2430.0,3,86.0
2021-03-30 09:55:00,3310.0,6,86.91666666666667
2021-04-22 17:05:00,2791.0,3,78.33333333333333
2021-04-22 13:10:00,3861.0,3,87.0
2021-05-27 08:20:00,743.0,4,88.08333333333333
2021-05-27 03:30:00,1013.0,16,84.65625
2021-04-06 16:10:00,482.0,17,86.34313725490198
2021-04-06 17:00:00,3806.0,6,83.36111111111111
2021-04-06 06:45:00,1463.0,6,88.61111111111113
2021-04-06 16:15:00,950.0,3,87.66666666666667
2021-03-28 22:25:00,3852.0,1,105.0
2021-03-28 21:05:00,4833.0,1,74.0
2021-03-30 07:05:00,3642.0,8,86.25
2021-03-22 04:15:00,552.0,5,84.36666666666666
2021-06-04 16:45:00,5173.0,6,81.1388888888889
2021-05-31 05:45:00,202.0,1,88.0
2021-03-29 06:25:00,5109.0,9,85.16666666666667
2021-04-12 05:35:00,641.0,5,86.6
2021-05-28 05:45:00,497.0,26,87.01923076923077
2021-05-06 08:00:00,3659.0,2,87.5
2021-05-06 14:05:00,5019.0,10,74.71666666666667
2021-06-02 14:45:00,3268.0,7,84.28571428571429
2021-05-01 09:55:00,2075.0,4,86.75
2021-05-01 11:40:00,1399.0,2,53.5
2021-04-13 11:40:00,2417.0,3,84.0
2021-04-16 03:55:00,2520.0,9,84.30555555555556
2021-04-16 09:50:00,4697.0,19,85.74999999999999
2021-04-16 08:25:00,5019.0,11,75.48484848484848
2021-04-24 16:00:00,3285.0,2,91.33333333333334
2021-04-24 17:05:00,2935.0,1,83.0
2021-04-15 13:20:00,3858.0,2,73.0
2021-05-31 12:05:00,4062.0,5,82.0
2021-06-01 11:30:00,2395.0,19,87.63157894736842
2021-06-03 11:05:00,779.0,3,36.66666666666666
2021-05-07 10:45:00,2883.0,5,59.6
2021-05-07 20:45:00,5135.0,1,67.0
2021-04-16 15:00:00,3127.0,2,87.5
2021-04-16 05:40:00,4928.0,6,87.5
2021-06-02 13:30:00,3364.0,6,75.58333333333333
2021-04-29 19:15:00,2783.0,3,80.44444444444446
2021-04-21 23:20:00,1712.0,2,85.5
2021-04-21 11:50:00,213.0,1,73.0
2021-04-21 02:25:00,3498.0,3,86.66666666666667
2021-06-03 04:25:00,1584.0,6,85.72222222222221
2021-05-11 12:50:00,2252.0,8,87.57291666666666
2021-05-11 05:25:00,950.0,6,60.388888888888886
2021-04-16 14:40:00,4161.0,4,87.5
2021-04-02 05:10:00,2602.0,9,87.16666666666667
2021-04-29 06:00:00,1401.0,14,83.97619047619047
2021-04-21 04:25:00,2772.0,19,86.37280701754386
2021-04-21 11:55:00,1413.0,3,88.41666666666667
2021-06-03 12:50:00,3642.0,26,86.83333333333333
2021-03-30 04:10:00,2648.0,1,79.0
2021-04-22 11:45:00,2137.0,14,22.196428571428573
2021-04-06 15:15:00,104.0,5,80.3
2021-05-27 09:55:00,3715.0,19,85.46491228070177
2021-06-02 12:50:00,3948.0,25,87.13
2021-06-02 14:35:00,497.0,17,84.50980392156862
2021-04-22 13:55:00,62.0,7,86.80952380952381
2021-05-17 03:55:00,4821.0,4,62.75
2021-05-17 09:20:00,4413.0,11,81.8409090909091
2021-05-27 08:40:00,335.0,3,64.33333333333333
2021-05-20 06:00:00,4206.0,6,85.5
2021-05-20 04:20:00,3982.0,9,86.7962962962963
2021-05-20 18:30:00,4350.0,7,88.03571428571429
2021-04-14 07:15:00,1674.0,22,87.0909090909091
2021-03-15 04:55:00,4795.0,3,86.27777777777777
2021-03-15 14:50:00,1590.0,5,71.6
2021-04-09 14:20:00,5056.0,12,88.80555555555556
2021-04-14 16:30:00,2520.0,10,84.9
2021-05-26 02:15:00,4360.0,2,87.0
2021-05-26 12:30:00,4150.0,28,85.60119047619047
2021-05-26 05:25:00,3704.0,6,85.25
2021-06-02 07:45:00,3936.0,9,87.22222222222223
2021-06-02 23:00:00,467.0,3,81.22222222222223
2021-06-02 13:05:00,467.0,36,87.46296296296298
2021-06-02 08:45:00,921.0,2,86.5
2021-06-02 13:10:00,4019.0,14,84.96428571428571
2021-06-02 09:45:00,140.0,22,84.45454545454545
2021-06-02 05:10:00,2818.0,13,85.1474358974359
2021-06-02 04:50:00,4913.0,27,85.68518518518519
2021-06-02 10:40:00,5020.0,3,85.33333333333333
2021-06-02 15:40:00,2413.0,15,52.09444444444444
2021-06-02 17:50:00,3082.0,8,88.875
2021-06-02 20:05:00,3340.0,2,86.0
2021-06-02 06:00:00,4697.0,24,86.81944444444446
2021-06-02 07:50:00,1013.0,12,86.63888888888887
2021-06-02 11:40:00,1946.0,10,57.25
2021-04-02 11:25:00,4301.0,10,89.48333333333333
2021-04-20 14:25:00,3115.0,8,76.6875
2021-04-20 14:50:00,1565.0,7,85.14285714285714
2021-04-20 00:30:00,3798.0,1,81.0
2021-04-20 11:50:00,1195.0,1,20.0
2021-04-20 05:05:00,2518.0,12,80.03472222222223
2021-03-26 10:00:00,3138.0,6,87.0
2021-03-26 08:20:00,2006.0,15,81.15555555555555
2021-03-26 12:15:00,1072.0,4,83.125
2021-04-08 02:30:00,1271.0,9,87.94444444444444
